lbp58,hog25,hog210,hog435,hog387,hog111,hog556,hog363,hog16,hog394,hog369,hog138,hog225,hog95,hog120,hog237,hog361,hog509,hog379,hog151,hog217,hog374,hog513,hog520,hog336,hog221,hog421,hog367,hog547,hog34,hog360,hog117,hog198,hog94,lbp5,hog235,hog565,hog61,hog309,hog222,hog90,hog508,hog510,hog340,hog43,hog483,hog278,hog220,hog96,hog358,Clase
0.342014,0.330811,0.1185496,0.2224557,0.1782612,0.2188103,0.2844166,0.0841782,0.1134069,0.2677859,0.2126083,0.292643,0.2383632,0.06024806,0.1616813,0.1298165,0.18921,0.06203111,0.1497716,0.3096835,0.2383632,0.2677859,0.1465123,0.2400776,0.1522539,0.08349229,0.2811918,0.08299895,0.2844166,0.1780985,0.2790757,0.1413388,0.2446627,0.09287915,0.004578311,0.2176446,0.2139039,0.1650629,0.2608189,0.08177426,0.1048129,0.1328492,0.05359742,0.123186,0.09118515,0.05260637,0.09532059,0.1259312,0.06156955,0.2790757,Capacitor electrolitico
0.3332302,0.2369448,0.1542472,0.2465508,0.1432058,0.2237878,0.2223583,0.08273219,0.1970972,0.2783051,0.06438753,0.2837422,0.08166043,0.05812589,0.2837422,0.08982135,0.09004995,0.04555609,0.1088879,0.2433077,0.1677386,0.2783051,0.2119167,0.2429485,0.1260833,0.09387645,0.2493088,0.07312131,0.2223583,0.1429069,0.2219465,0.1127661,0.2011203,0.1151015,0.004396373,0.09578549,0.1633286,0.1117455,0.2817275,0.04987425,0.139918,0.05741486,0.1053437,0.1066276,0.217968,0.09298515,0.08235352,0.1893634,0.02470332,0.1772478,Capacitor electrolitico
0.3673643,0.2015973,0.267285,0.2459407,0.06758539,0.1432281,0.1236472,0.2570945,0.0804455,0.05031427,0.07555792,0.2362095,0.2477533,0.03272722,0.2362095,0.2130037,0.09135426,0.04850437,0.09064885,0.197196,0.2378851,0.02703805,0.1323552,0.07552312,0.2878782,0.03616574,0.07850993,0.279719,0.09258133,0.1536496,0.07044049,0.05743343,0.267285,0.03504195,0.003017159,0.09004486,0.09903513,0.1818787,0.2237215,0.04005387,0.1217379,0.04239362,0.04942711,0.2878782,0.07362492,0.05118701,0.2613295,0.0386522,0.04353407,0.2878782,Capacitor electrolitico
0.359095,0.3244106,0.05571431,0.2765081,0.1266353,0.09640421,0.09141748,0.05042064,0.2311414,0.06180805,0.09133047,0.1238729,0.2770359,0.04438605,0.1260894,0.04749306,0.2656076,0.2142793,0.2656076,0.2470542,0.2770359,0.07765619,0.1079194,0.06818563,0.06978873,0.03751902,0.06342751,0.222081,0.04612986,0.1020408,0.1476132,0.09099907,0.269727,0.03482119,0.005900503,0.2071706,0.0871008,0.09324325,0.3041978,0.1012255,0.1268243,0.06681389,0.2672387,0.1891496,0.159021,0.2732402,0.1045696,0.03259271,0.05539024,0.2553513,Capacitor electrolitico
0.5694066,0.3108761,0.1807941,0.3254,0.1585438,0.3499868,0.2403959,0.1752046,0.3108761,0.1863847,0.09120954,0.3499868,0.1522403,0.07838499,0.3499868,0.1541251,0.1302128,0.0852247,0.1318648,0.3165071,0.2096605,0.2079311,0.1499908,0.1465863,0.1895032,0.1295917,0.1639859,0.1624272,0.2403959,0.2865293,0.1253338,0.05627035,0.1746936,0.1155622,0.003311565,0.1284046,0.2059111,0.300189,0.3133326,0.1146515,0.1497786,0.09523723,0.09825958,0.1423645,0.300189,0.1035439,0.09641773,0.1867778,0.07727578,0.1191055,Capacitor electrolitico
0.6692167,0.3044792,0.1418325,0.2959069,0.111804,0.245583,0.255503,0.1344734,0.3044792,0.2148426,0.1390774,0.3606865,0.2256653,0.09632645,0.3606865,0.1380741,0.1377124,0.1459349,0.1446668,0.3233078,0.2256653,0.1792318,0.1222428,0.2507076,0.1413422,0.103638,0.216337,0.1624599,0.255503,0.162173,0.09362584,0.03898487,0.2198988,0.1075926,0.002803835,0.1501118,0.255503,0.2704375,0.2655677,0.1281016,0.09749793,0.1392335,0.1671206,0.1540293,0.3050649,0.1584454,0.04740182,0.1216421,0.1170832,0.1498716,Capacitor electrolitico
0.3491809,0.2157294,0.1471993,0.2537502,0.1008893,0.06528299,0.2597114,0.1662018,0.08234923,0.06239969,0.08072382,0.242745,0.1591482,0.2089071,0.2151927,0.09794242,0.1223077,0.03112322,0.1758848,0.2457797,0.1839234,0.0557751,0.1423289,0.1178133,0.1877814,0.2004146,0.07909821,0.2959083,0.187824,0.104481,0.08755197,0.05906764,0.1589547,0.06957382,0.01087907,0.09011967,0.2205579,0.1656741,0.2139622,0.2492099,0.07824142,0.04426641,0.1237647,0.2840022,0.1329292,0.1726186,0.1294847,0.07695617,0.2518348,0.2840022,Capacitor electrolitico
0.3908451,0.2704774,0.2084263,0.2525241,0.1008686,0.1270917,0.2813742,0.2480281,0.0990897,0.08042512,0.2480281,0.2478962,0.2050976,0.08912951,0.09807667,0.2270598,0.2289688,0.09115492,0.1646667,0.2821017,0.1519884,0.1183589,0.2419111,0.1127977,0.210176,0.09024629,0.1777813,0.1100246,0.2248362,0.1426843,0.1239164,0.08505744,0.1318803,0.2446627,0.005134051,0.263043,0.1299755,0.06876254,0.2593481,0.05976683,0.1368977,0.2625873,0.03875542,0.1099208,0.06756514,0.04319252,0.2631546,0.263043,0.05466817,0.03281758,Capacitor electrolitico
0.4657959,0.261623,0.05459549,0.2816054,0.09230532,0.2448696,0.2746251,0.05258419,0.261623,0.1721221,0.3062411,0.2448696,0.09960448,0.2356258,0.2448696,0.05851304,0.3062411,0.2780788,0.1301441,0.2547135,0.1353485,0.1480632,0.1170067,0.2780788,0.0517823,0.2847141,0.1907566,0.07213406,0.2746251,0.261623,0.09820379,0.1036958,0.1092436,0.1764462,0.005430486,0.2847141,0.2746251,0.2264743,0.2878155,0.2673585,0.1184372,0.2459624,0.2236083,0.06740498,0.2268398,0.1646752,0.07013708,0.1739103,0.187484,0.06048267,Capacitor electrolitico
0.3567168,0.1967605,0.08751662,0.243054,0.2498597,0.2681939,0.2753972,0.2013355,0.2787366,0.2498597,0.2364787,0.3070848,0.1946815,0.1402019,0.3070848,0.2186148,0.08185434,0.04787255,0.2110842,0.236766,0.1314688,0.2199895,0.2284965,0.2284965,0.07454478,0.1311667,0.2521842,0.0677894,0.2753972,0.2787366,0.232971,0.06691096,0.2631541,0.2807855,0.008854178,0.07839748,0.1288931,0.3041994,0.2311909,0.05194228,0.1189488,0.0654547,0.06040774,0.08797795,0.3041994,0.1040469,0.0485246,0.2725593,0.06138173,0.05646691,Capacitor electrolitico
