lbp58,hog435,hog556,hog111,hog25,hog369,hog16,hog210,hog363,hog138,hog394,hog120,hog361,hog151,hog421,hog387,hog95,hog225,hog309,hog237,hog547,hog117,hog336,hog374,hog243,hog235,hog565,hog278,hog34,hog430,hog43,hog129,hog61,hog520,hog94,hog90,hog329,lbp5,hog217,hog102,lbp3,hog17,hog221,hog509,hog379,hog84,hog209,hog160,hog367,hog7,Clase
0.3332302,0.2465508,0.2223583,0.2237878,0.2369448,0.06438753,0.1970972,0.1542472,0.08273219,0.2837422,0.2783051,0.2837422,0.09004995,0.2433077,0.2493088,0.1432058,0.05812589,0.08166043,0.2817275,0.08982135,0.2223583,0.1127661,0.1260833,0.2783051,0.06135151,0.09578549,0.1633286,0.08235352,0.1429069,0.2615756,0.217968,0.2837422,0.1117455,0.2429485,0.1151015,0.139918,0.1373528,0.004396373,0.1677386,0.2906904,0.004950465,0.2460655,0.09387645,0.04555609,0.1088879,0.1657927,0.1562883,0.2200725,0.07312131,0.2460655,Capacitor electrolitico
0.3392938,0.2255287,0.2817382,0.2504075,0.1431974,0.07681604,0.2762547,0.05193092,0.1186055,0.2504075,0.2802504,0.2504075,0.1067322,0.1409102,0.2750274,0.08994066,0.05541161,0.06521676,0.1631099,0.049756,0.2817382,0.09567725,0.09793964,0.07851344,0.06531914,0.06879261,0.2817382,0.0597424,0.2762547,0.2750274,0.3014805,0.2504075,0.3014805,0.2553726,0.04704178,0.1507899,0.1995712,0.005665988,0.06616017,0.24393,0.01147046,0.2762547,0.08910261,0.0481948,0.1726977,0.223491,0.1129678,0.2715381,0.2865258,0.2762547,Capacitor electrolitico
0.3330657,0.2616458,0.2200581,0.200327,0.3125598,0.2857995,0.3125598,0.1560253,0.1487156,0.2517171,0.08404822,0.1786968,0.2857995,0.2586442,0.1111542,0.1773275,0.2685944,0.0490896,0.2397045,0.1441734,0.1193252,0.0997564,0.1463705,0.05987976,0.2977259,0.2863099,0.2131713,0.2665192,0.2277631,0.2297147,0.1997505,0.2517171,0.1522289,0.1231554,0.2685944,0.08736676,0.07530338,0.005173884,0.049769,0.1430339,0.004632192,0.3125598,0.2977259,0.2728921,0.1404028,0.1200605,0.1216939,0.2403315,0.08743539,0.3125598,Capacitor electrolitico
0.3418627,0.145962,0.2916276,0.1050268,0.2546896,0.0369446,0.2977981,0.2554697,0.2854612,0.3078759,0.2854612,0.167277,0.04431332,0.2360035,0.2889522,0.1138023,0.03929003,0.2901998,0.1239455,0.2901998,0.2916276,0.2062477,0.256334,0.0395793,0.04175388,0.05935987,0.08974158,0.2751109,0.2977981,0.2889522,0.2492449,0.1649252,0.2492449,0.2575886,0.08807205,0.2444541,0.256334,0.007930794,0.2042474,0.08269612,0.009576163,0.2977981,0.0325185,0.09220389,0.1679923,0.06729653,0.2554697,0.2929552,0.07732307,0.2189548,Capacitor electrolitico
0.3138437,0.1623012,0.2699556,0.2702896,0.2215684,0.2413984,0.3012803,0.08351883,0.1438204,0.292915,0.1362829,0.292915,0.1095788,0.1492103,0.2252458,0.08861863,0.08585612,0.2477398,0.159843,0.08670284,0.2699556,0.05850413,0.1300951,0.2726153,0.2477398,0.1066318,0.2699556,0.2030598,0.3012803,0.2636715,0.2806866,0.2879609,0.2806866,0.2303301,0.06396395,0.1134506,0.2615501,0.006811087,0.2477398,0.2587427,0.007784117,0.3012803,0.04496194,0.2589578,0.07530429,0.1345601,0.05978652,0.3098471,0.08713886,0.3012803,Capacitor electrolitico
0.3299567,0.1754242,0.2372427,0.07009579,0.1698067,0.221195,0.2314992,0.1004197,0.08470663,0.1347381,0.213937,0.2728502,0.221195,0.1588027,0.204936,0.09180162,0.102121,0.2479107,0.1588763,0.09939911,0.2372427,0.2728502,0.1051165,0.1207109,0.2479107,0.2479107,0.1063578,0.1750813,0.2270564,0.2176116,0.2846774,0.122028,0.2846774,0.2136704,0.1054325,0.2970371,0.1435796,0.005326034,0.163392,0.1045023,0.00854084,0.1215307,0.08565164,0.1287789,0.221195,0.05699174,0.2075619,0.1920997,0.2087104,0.1920401,Capacitor electrolitico
0.3075582,0.1919956,0.1509398,0.2831626,0.1166089,0.161352,0.2536644,0.05661973,0.07342342,0.2831626,0.07788301,0.2831626,0.1398992,0.1216842,0.08484882,0.07062004,0.07685457,0.2434424,0.1659113,0.05105682,0.1306296,0.04473548,0.06783,0.3023765,0.2014947,0.1693978,0.2434149,0.1207383,0.2536644,0.1039645,0.2516024,0.2831626,0.2516024,0.1048117,0.07559822,0.09262312,0.3192297,0.007725667,0.2406662,0.2360118,0.001993286,0.2386534,0.07810386,0.2553056,0.06378864,0.2256707,0.0701814,0.3005535,0.0797191,0.1040586,Capacitor electrolitico
0.3282304,0.1520951,0.2324778,0.2094937,0.1776771,0.07708686,0.2522916,0.2461521,0.2708651,0.2318565,0.2090796,0.1892738,0.07703051,0.1379208,0.2501447,0.1713816,0.08947732,0.1675314,0.1662098,0.2410791,0.2324778,0.1695217,0.2344547,0.1169317,0.07836234,0.07310507,0.1356294,0.1056929,0.2522916,0.2227744,0.2387853,0.2318565,0.2387853,0.2207005,0.1104611,0.1324986,0.2344547,0.01496201,0.1954047,0.2301264,0.009244499,0.2300946,0.06042442,0.1409541,0.1966451,0.1245143,0.1613575,0.2707129,0.0747859,0.2160385,Capacitor electrolitico
0.3561811,0.2406812,0.2100539,0.310646,0.3130495,0.08462201,0.2681488,0.1088725,0.1168356,0.310646,0.2543984,0.310646,0.06694004,0.2770476,0.2421937,0.2543984,0.06951153,0.2125186,0.2525768,0.1240063,0.2255015,0.04115939,0.1226433,0.2543984,0.0421228,0.06437251,0.1553559,0.02086891,0.3130495,0.1996682,0.169885,0.310646,0.267574,0.2531051,0.1244575,0.06597338,0.233233,0.01014222,0.2734143,0.2928707,0.005525597,0.3130495,0.1363342,0.07182539,0.1563492,0.2928707,0.06268699,0.2770476,0.05095966,0.3130495,Capacitor electrolitico
0.2992053,0.2400608,0.2785593,0.2899639,0.1815884,0.07643447,0.2221183,0.1270515,0.1418255,0.2899639,0.2651737,0.2899639,0.07706766,0.2162241,0.2563033,0.2651737,0.207698,0.141548,0.2307146,0.1465995,0.2785593,0.04089567,0.1446608,0.1690987,0.03552514,0.03146545,0.2641568,0.04990858,0.2221183,0.2563033,0.2209891,0.2899639,0.2209891,0.2523926,0.2646749,0.05858874,0.242374,0.00724222,0.2710537,0.2646749,0.004324377,0.2221183,0.2890664,0.09425057,0.1880568,0.2646749,0.0344694,0.2186792,0.05225814,0.1901506,Capacitor electrolitico
